"","title","date","place"
"1","歐洲議會通過暫停土耳其入歐談判 ","2016.11.25"," 比利時"
"2","烏克蘭公民可望免簽進入歐洲申根國家 ","2016.11.25"," 烏克蘭"
"3","川普稱將退出TPP，德國總理對此表示不悅 ","2016.11.24"," 德國"
"4","殺害英國女議員，凶嫌被判終身監禁 ","2016.11.24"," 英國"
"5","受機師罷工影響，德國漢莎航空取消近900航班 ","2016.11.23"," 德國"
"6","教宗方濟各賦予神父赦免墮胎的權力 ","2016.11.22"," 梵蒂岡"
"7","俄羅斯國防部指控烏克蘭非法扣押俄國軍人 ","2016.11.22"," 俄羅斯"
"8","德國總理梅克爾宣布尋求連任 ","2016.11.21"," 德國"
"9","沙柯吉初選落敗，無緣競選法國總統 ","2016.11.21"," 法國"
"10","英國脫歐公投後面臨大批東歐勞工湧入 ","2016.11.18"," 英國"
"11","是否競選連任，德國總理仍持保留態度 ","2016.11.18"," 德國"
"12","歐盟擬向免簽旅客收取5歐元安檢費 ","2016.11.17"," 比利時"
"13","法國難民保護局：難民尋求庇護速度趨緩 ","2016.11.17"," 法國"
"14","親俄候選人當選摩爾多瓦總統 ","2016.11.16"," 摩爾多瓦"
"15","俄國航母對敘利亞展開首波攻擊 ","2016.11.16"," 俄羅斯"
"16","普亭與川普就敘利亞危機及恐怖主義交換意見 ","2016.11.15"," 俄羅斯"
"17","德國執政聯盟共推現任外長角逐總統寶座 ","2016.11.15"," 德國"
"18","保加利亞總理宣布請辭 ","2016.11.14"," 保加利亞"
"19","俄聯邦安全局破獲恐攻計畫，逮捕10人 ","2016.11.14"," 俄羅斯"
"20","未來走向不明，歐盟邀川普共商對策 ","2016.11.11"," 比利時"
"21","德國近六成民眾支持梅克爾爭取連任 ","2016.11.11"," 德國"
"22","川普當選美國總統，德英籲持續合作關係 ","2016.11.10"," 德國"
"23","俄國稱將與美國「全面恢復關係」 ","2016.11.10"," 俄羅斯"
"24","莫斯科：美外交官未來不得觀察俄國選舉 ","2016.11.09"," 俄羅斯"
"25","德國警方逮捕5名伊斯蘭國重要成員 ","2016.11.09"," 德國"
"26","因應俄軍威脅，北約擬讓更多部隊提高警戒狀態 ","2016.11.08"," 比利時"
"27","英首相籲國會不要阻撓「脫歐」 ","2016.11.08"," 英國"
"28","教宗為千名囚犯舉行特別彌撒 ","2016.11.07"," 梵蒂岡"
"29","因應「伊斯蘭國」滲透，德擬強制對新兵安全調查 ","2016.11.07"," 德國"
"30","巴黎氣候協定今正式生效 ","2016.11.04"," 比利時"
"31","英國高等法院：啟動脫歐需國會表決同意 ","2016.11.04"," 英國"
"32","法國當局將滯留加萊「叢林」難民營孩童全數撤出 ","2016.11.03"," 法國"
"33","比利時移民部長拒發難民簽證遭罰 ","2016.11.03"," 比利時"
"34","俄羅斯知名異議份子控訴獄警虐待 ","2016.11.02"," 俄羅斯"
"35","保加利亞警方查獲千萬歐元偽鈔 ","2016.11.02"," 保加利亞"
"36","英國情報首長：俄羅斯對英國威脅日增 ","2016.11.01"," 英國"
"37","義大利規模6.6強震導致1萬5,000人無家可歸 ","2016.11.01"," 義大利"
"38","歐盟與加拿大正式簽署全面貿易協定 ","2016.10.31"," 比利時"
"39","義大利中部出現3個月來第4次強震 ","2016.10.31"," 義大利"
"40","曾為IS性奴隸之亞茲迪少女獲頒歐盟「沙卡洛夫人權獎」 ","2016.10.28"," 比利時"
"41","比利時終於點頭，歐加自貿協定突破僵局 ","2016.10.28"," 比利時"
"42","俄羅斯否認要求讓航母在西班牙港口加油 ","2016.10.27"," 俄羅斯"
"43","義大利中部連續發生規模5.5和6.1強震 ","2016.10.27"," 義大利"
"44","挪威明年將試行開放逾300名美軍進駐 ","2016.10.26"," 挪威"
"45","歐盟邊境管制擬延長3個月 ","2016.10.26"," 比利時"
"46","德國證實35名持土耳其外交護照人士申請庇護 ","2016.10.25"," 德國"
"47","波蘭國會擬修法限制墮胎，各大城市婦女串聯抗議 ","2016.10.25"," 波蘭"
"48","西班牙反對黨讓步，西班牙有望組成少數政府 ","2016.10.24"," 西班牙"
"49","法國將拆除「叢林」難民營 ","2016.10.24"," 法國"
"50","俄羅斯：阿勒坡人道停火將延長24小時 ","2016.10.21"," 俄羅斯"
"51","比利時法語區反對，歐加自貿協定卡關 ","2016.10.20"," 比利時"
"52","英相梅伊出席歐盟峰會，將爭取各國支持平順的脫歐過程 ","2016.10.20"," 英國"
"53","伊拉克若收復摩蘇爾，歐盟：大批戰士恐湧入歐洲 ","2016.10.19"," 比利時"
"54","俄羅斯航母編隊駛入北海，將前往敘利亞 ","2016.10.19"," 俄羅斯"
"55","奧地利政府決定拆除希特勒出生公寓 ","2016.10.18"," 奧地利"
"56","挺義大利總理，歐盟暫不對義預算案表示意見 ","2016.10.18"," 義大利"
"57","蒙特內哥羅大選，執政黨料將獲勝 ","2016.10.17"," 蒙特內哥羅"
"58","英國國會要求對梅伊的脫歐策略進行投票 ","2016.10.17"," 英國"
"59","歐洲理事會主席：英國只能選「硬脫歐」或「不脫歐」 ","2016.10.14"," 比利時"
"60","德國憲法法院支持歐加自由貿易協定 ","2016.10.14"," 德國"
"61","德國恐攻嫌犯落網後在獄中輕生 ","2016.10.13"," 委內瑞拉"
"62","法俄因敘利亞問題生齟齬，俄羅斯總統取消訪法 ","2016.10.12"," 法國"
"63","義大利奧委會正式退出申辦2024年奧運 ","2016.10.12"," 義大利"
"64","不滿俄羅斯否決提案，法總統暗示俄有可能面臨戰爭罪 ","2016.10.11"," 法國"
"65","「德銀」將再裁千名德國員工 ","2016.10.07"," 德國"
"66","波蘭禁墮胎法案遭國會否決 ","2016.10.07"," 波蘭"
"67","布魯塞爾2名警察遭人持刀攻擊 ","2016.10.06"," 比利時"
"68","英相梅伊矢言打造更公平的社會 ","2016.10.06"," 英國"
"69","歐洲議會批准巴黎氣候協定 ","2016.10.05"," 法國"
"70","俄羅斯運送飛彈系統至敘利亞 ","2016.10.05"," 俄羅斯"
"71","俄羅斯中止美俄銷毀鈽協議 ","2016.10.04"," 俄羅斯"
"72","愛沙尼亞選出首位女性總統 ","2016.10.04"," 愛沙尼亞"
"73","英相梅伊：明年3月前展開脫歐談判程序 ","2016.10.03"," 英國"
"74","匈牙利就「歐盟」難民配額計畫展開公投 ","2016.10.03"," 匈牙利"
"75","歐盟執委會稱德國道路收費系統歧視外國駕駛 ","2016.09.30"," 德國"
"76","大型避險基金傳撤資，德銀股價重挫 ","2016.09.30"," 德國"
"77","馬航MH17客機遭擊落，飛彈疑來自俄國 ","2016.09.29"," 俄羅斯"
"78","西班牙「社會勞工黨」17名高層提出辭呈 ","2016.09.29"," 西班牙"
"79","歐洲領袖召開峰會，討論難民問題 ","2016.09.26"," 奧地利"
"80","布達佩斯市中心發生炸彈爆炸，2名員警受傷 ","2016.09.26"," 匈牙利"
"81","爭取明年總統大位，法國「共和黨」提名初選開跑 ","2016.09.23"," 法國"
"82","友台歐洲議員支持台灣參與ICAO大會 ","2016.09.23"," 比利時"
"83","堵移民偷渡赴英，法國加萊築牆防範 ","2016.09.22"," 法國"
"84","俄國唯一航空母艦擬進駐地中海 ","2016.09.22"," 俄羅斯"
"85","希臘難民營發生大火，約5,000移民被迫撤離 ","2016.09.21"," 希臘"
"86","比利時近萬人上街抗議「跨大西洋貿易及投資夥伴協定」 ","2016.09.21"," 比利時"
"87","德國柏林邦議會選舉：反移民政黨再下一城 ","2016.09.20"," 德國"
"88","俄國下院選舉結果出爐，執政黨囊括過半席次 ","2016.09.20"," 俄羅斯"
"89","俄國下議院大選出口民調：執政黨拿下近5成政黨票 ","2016.09.19"," 俄羅斯"
"90","「歐洲理事會」主席：英國擬明年初啟動「脫歐」程序 ","2016.09.19"," 比利時"
"91","不滿匈牙利難民政策，盧森堡外長籲逐出「歐盟」 ","2016.09.14"," 盧森堡"
"92","疑似接觸「伊斯蘭國」，3難民在德國遭逮 ","2016.09.14"," 德國"
"93","克羅埃西亞保守派勝選，可望組織聯合政府 ","2016.09.13"," 克羅埃西亞"
"94","數十萬加泰隆尼亞民眾上街爭取「脫西」 ","2016.09.13"," 西班牙"
"95","策畫恐怖攻擊，15歲少年在巴黎落網 ","2016.09.12"," 法國"
"96","數千人在馬德里參與反鬥牛遊行 ","2016.09.12"," 西班牙"
"97","西班牙火車出軌意外，至少4人死亡 ","2016.09.10"," 西班牙"
"98","巴黎3女疑策畫恐怖攻擊，遭警方逮捕 ","2016.09.10"," 法國"
"99","法國山區纜車故障，45人受困白朗峰 ","2016.09.09"," 法國"
"100","挪威暫停北極石油開採計畫 ","2016.09.09"," 挪威"
"101","英國將出資在法國加萊蓋4尺高牆擋移民 ","2016.09.08"," 法國"
"102","查國民逃漏稅，丹麥政府將斥資百萬買巴拿馬文件 ","2016.09.08"," 丹麥"
"103","巴黎10月中將開設首座難民營 ","2016.09.07"," 法國"
"104","英國伊斯蘭教士煽動他人加入ISIS遭判刑5年半 ","2016.09.07"," 英國"
"105","地方選舉敗給反移民政黨，梅克爾難民政策受質疑 ","2016.09.06"," 德國"
"106","法國加萊民眾要求全面拆除「叢林」難民營 ","2016.09.06"," 法國"
"107","德執政黨地方選舉敗給極右派政黨 ","2016.09.05"," 德國"
"108","教宗方濟各封德勒莎修女為聖人 ","2016.09.05"," 梵蒂岡"
"109","法國學童開學日，校園維安上緊發條 ","2016.09.02"," 法國"
"110","西班牙政府持續難產，恐一年內三度舉行大選 ","2016.09.01"," 西班牙"
"111","土耳其警力撤出希臘，土歐難民協議形同停擺 ","2016.09.01"," 希臘"
"112","法經濟部長請辭，為角逐下屆總統鋪路 ","2016.08.31"," 法國"
"113","法外貿部長要求終止TTIP談判 ","2016.08.31"," 法國"
"114","德國境內近9,000名難民孩童失蹤 ","2016.08.30"," 德國"
"115","義大利海巡隊在利比亞外海救起6,500名移民 ","2016.08.30"," 義大利"
"116","德國去年收容難民不及原宣稱的百萬人 ","2016.08.29"," 德國"
"117","巴黎餐廳拒絕服務穆斯林婦女 ","2016.08.29"," 法國"
"118","義大利宣布重災區進入緊急狀態 ","2016.08.26"," 義大利"
"119","比利時運動中心發生爆炸，一死四傷 ","2016.08.26"," 比利時"
"120","義大利強震至少160死，搜救人員徹夜搜尋生還者 ","2016.08.25"," 義大利"
"121","恐攻頻傳，巴黎觀光客銳減百萬人 ","2016.08.25"," 法國"
"122","法國潛艦機密大量外洩，驚動多國 ","2016.08.24"," 法國"
"123","義大利中部發生規模6.2強震 ","2016.08.24"," 義大利"
"124","防緊急狀況，德國內政部籲民眾存糧儲水 ","2016.08.23"," 德國"
"125","德義法領袖齊聚文托泰內島，共商「歐盟」未來 ","2016.08.23"," 義大利"
"126","法國華人社區上街抗議，要求當局加強維安 ","2016.08.22"," 法國"
"127","「歐盟」執委會主席：須滿足所有條件才會給予土國免簽 ","2016.08.22"," 奧地利"
"128","俄羅斯提議敘利亞停火48小時，以運送人道救援物資 ","2016.08.19"," 俄羅斯"
"129","烏克蘭3士兵遭親俄叛軍殺害，烏國總統揚言實施戒嚴 ","2016.08.19"," 烏克蘭"
"130","德機密報告指土耳其支持恐怖組織，惹惱土國 ","2016.08.18"," 德國"
"131","法國南部火車撞樹，數十人輕重傷 ","2016.08.18"," 法國"
"132","俄戰機利用伊朗基地對敘發動空襲，美國表示遺憾 ","2016.08.17"," 俄羅斯"
"133","奧地利火車60歲男子持刀砍傷2名青少年 ","2016.08.17"," 奧地利"
"134","德國外長籲俄烏繼續對話，遵守明斯克協議 ","2016.08.16"," 德國"
"135","英國脫歐可能延至2019年末 ","2016.08.15"," 英國"
"136","瑞典最年輕部長為酒駕請辭 ","2016.08.15"," 瑞典"
"137","遭俄國指控入侵克里米亞，烏克蘭總統下令進入備戰狀態 ","2016.08.12"," 烏克蘭"
"138","德國內政部長提出新安全措施 ","2016.08.12"," 德國"
"139","法國南部野火肆虐，數百人撤離家園 ","2016.08.11"," 法國"
"140","英國首相梅伊與俄羅斯總統進行電話會談 ","2016.08.10"," 英國"
"141","德國警方逮捕1涉嫌計畫恐攻的敘利亞難民 ","2016.08.10"," 德國"
"142","德國與沙烏地阿拉伯合作調查恐攻 ","2016.08.09"," 德國"
"143","英國鐵路公司員工展開罷工 ","2016.08.09"," 英國"
"144","比利時2名女警遭砍傷，「伊斯蘭國」承認犯行 ","2016.08.08"," 比利時"
"145","奧地利總理：應中止土耳其入歐談判 ","2016.08.05"," 奧地利"
"146","英國央行宣布降息1碼 ","2016.08.05"," 英國"
"147","倫敦傳持刀砍人事件，釀1死5傷 ","2016.08.04"," 英國"
"148","「國際移民組織」：今年逾4,000名移民死亡或失蹤 ","2016.08.04"," 瑞士"
"149","西班牙代理總理：西班牙將可能面臨第3次大選 ","2016.08.03"," 西班牙"
"150","法國各地以安全為由取消夏季活動 ","2016.08.03"," 法國"
"151","教宗方濟各：不能將伊斯蘭教與暴力相提並論 ","2016.08.02"," "
"152","英國首相暫緩中國大陸投資的核電廠計劃 ","2016.08.02"," 英國"
"153","比利時兄弟檔涉嫌策劃恐攻遭逮捕，1起訴1獲釋 ","2016.08.01"," 比利時"
"154","法國教堂恐攻案：警方再度逮捕2名嫌犯 ","2016.08.01"," 法國"
"155","西班牙國王指派代理總理籌組新政府 ","2016.07.29"," 西班牙"
"156","祝賀芬蘭獨立百年，挪威擬贈山峰1座 ","2016.07.29"," 挪威"
"157","防堵恐攻後續效應，法總統邀集宗教領袖磋商 ","2016.07.28"," 法國"
"158","俄奧委會：逾250名選手獲准參與本屆奧運 ","2016.07.28"," 俄羅斯"
"159","法國教堂遭恐攻，歐蘭德矢言打擊「伊斯蘭國」 ","2016.07.27"," 法國"
"160","「歐盟」：愛沙尼亞提早半年接任輪值主席國 ","2016.07.27"," 比利時"
"161","「歐盟」：德國連串攻擊事件與難民危機有關 ","2016.07.26"," 比利時"
"162","德國安斯巴赫炸彈客曾宣誓效忠「伊斯蘭國」 ","2016.07.26"," 德國"
"163","德國1週內已傳4起攻擊事件 ","2016.07.25"," 德國"
"164","德國檢方：慕尼黑槍擊案應無政治動機 ","2016.07.25"," 德國"
"165","「歐盟」籲土耳其遵守法治及人權 ","2016.07.22"," 比利時"
"166","法國逮捕尼斯卡車恐攻5名共犯 ","2016.07.22"," 法國"
"167","「歐洲警政署」：歐陸面臨「孤狼式」恐攻風險 ","2016.07.21"," 荷蘭"
"168","德國接受英國延後「脫歐」之決定 ","2016.07.21"," 德國"
"169","「伊斯蘭國」：德火車砍人案為旗下「聖戰士」所為 ","2016.07.20"," 德國"
"170","英政府律師：今年無啟動「脫歐」程序之規劃 ","2016.07.20"," 英國"
"171","德國火車持斧砍人事件，5人受傷 ","2016.07.19"," 德國"
"172","法國尼斯卡車攻擊事件已有7嫌落網 ","2016.07.18"," 法國"
"173","蘇格蘭不排除最快明年再辦「脫英」公投 ","2016.07.18"," 英國"
"174","法國尼斯國慶遇恐攻，至少75死 ","2016.07.15"," 法國"
"175","英國脫歐大將強生任外相，歐洲政壇難以接受 ","2016.07.15"," 英國"
"176","穆斯林女性戴頭巾遭開除，歐盟法院裁定違法 ","2016.07.14"," 盧森堡"
"177","英相梅伊指派前倫敦市長強生為外相 ","2016.07.14"," 英國"
"178","義大利火車對撞意外，至少20死 ","2016.07.14"," 義大利"
"179","英國工黨重選黨魁，柯賓將重披戰袍 ","2016.07.14"," 英國"
"180","國際仲裁庭將宣布南海仲裁案結果，各方矚目 ","2016.07.12"," 荷蘭"
"181","IMF警告：義大利恐陷20年衰退 ","2016.07.12"," 義大利"
"182","英內政大臣梅伊將入主唐寧街 ","2016.07.12"," 英國"
"183","英首相選舉成雙姝對決 ","2016.07.11"," 英國"
"184","梅克爾促新任英相盡速啟動脫歐程序 ","2016.07.11"," 德國"
"185","英鎊暴跌，法國取代英國成全球第5大經濟體 ","2016.07.07"," 英國"
"186","英伊戰調查報告出爐，布萊爾稱願負全責 ","2016.07.07"," 英國"
"187","匈牙利10月公投決定是否接受「歐盟」難民配額　 ","2016.07.06"," 匈牙利"
"188","德國各邦要求中央撥款助難民融入社會 ","2016.07.06"," 德國"
"189","英脫歐大將法拉吉辭「獨立黨」黨魁 ","2016.07.05"," 英國"
"190","北約「華沙峰會」聚焦三大議題 ","2016.07.05"," 比利時"
"191","IMF總裁拉加德：英國脫歐有助「歐盟」改革 ","2016.07.04"," 英國"
"192","倫敦萬人大遊行，反對英國脫歐 ","2016.07.04"," 英國"
"193","脫歐大將強森棄選首相，英國內政大臣呼聲高 ","2016.07.01"," 英國"
"194","歐盟：英國全面脫歐後，才能開始貿易談判 ","2016.07.01"," 比利時"
"195","南海仲裁案結果將於下月出爐 ","2016.06.30"," 荷蘭"
"196","歐洲議會呼籲英國盡快啟動脫歐程序 ","2016.06.29"," 比利時"
"197","蘇格蘭首席大臣親赴「歐盟」展開外交遊說 ","2016.06.29"," 英國"
"198","英國啟動第50條前，「歐盟」拒展開非正式協商 ","2016.06.28"," 德國"
"199","英國脫歐影響持續發酵，全球股市哀鴻遍野 ","2016.06.28"," 英國"
"200","西班牙國會大選，「人民黨」勝出 ","2016.06.27"," 西班牙"
"201","IMF總裁促「歐盟」與英國盡速對英國脫歐問題採取行動 ","2016.06.27"," 英國"
"202","冰島選出20年來首位新總統 ","2016.06.27"," 冰島"
"203","英國脫歐公投：脫歐派勝出、英鎊重貶 ","2016.06.24"," 英國"
"204","數千名法國人走上巴黎街頭，抗議勞動改革法案 ","2016.06.24"," 法國"
"205","「歐盟」反對改變南海現狀，促維護南海航行自由 ","2016.06.23"," 比利時"
"206","英國今天舉行脫歐公投，金融市場嚴陣以待 ","2016.06.23"," 英國"
"207","「歐盟」擬延長對俄經濟制裁 ","2016.06.22"," 比利時"
"208","布魯塞爾市中心商場疑似發現爆裂物 ","2016.06.21"," 比利時"
"209","「歐盟」各國領袖溫情喊話，盼英國選擇「留歐」 ","2016.06.21"," 英國"
"210","英國23日脫歐公投在即，留歐派聲勢上揚 ","2016.06.20"," 英國"
"211","羅馬選出首位女市長 ","2016.06.20"," 義大利"
"212","克羅埃西亞國會通過對總理的不信任案 ","2016.06.17"," 克羅埃西亞"
"213","「脫歐」公投在即，英國「工黨」議員遇害 ","2016.06.17"," 英國"
"214","警官遇刺身亡，法國放寬槍枝規定 ","2016.06.16"," 法國"
"215","德國重申不允許一夫多妻的立場 ","2016.06.16"," 德國"
"216","「歐盟」駐土耳其代表請辭 ","2016.06.15"," 比利時"
"217","法國民眾上街抗議勞動改革法案，爆發警民衝突 ","2016.06.15"," 法國"
"218","「歐洲理事會」主席：英國「脫歐」恐造成西方政治文明瓦解 ","2016.06.14"," 比利時"
"219","法國警官住家遇害，「伊斯蘭國」承認犯行 ","2016.06.14"," 法國"
"220","英相卡麥隆：「脫歐」將有損英國經濟 ","2016.06.13"," 英國"
"221","英國「脫歐」公投在即，民調顯示疑歐派人數增加 ","2016.06.08"," 英國"
