,country,CHINESE,count
1,Afghanistan,阿富汗,0
2,Albania,阿爾巴尼亞,0
3,Algeria,阿爾及利亞,0
4,Andorra ,安道爾,0
5,Angola,安哥拉,0
6,Argentina,阿根廷,0
7,Armenia,亞美尼亞,0
8,Australia,澳大利亞,0
9,Austria,奧地利,0
10,Azerbaijan,亞塞拜然,0
11,Bahamas? ,巴哈馬,0
12,Bahrain ?,巴林,0
13,Bangladesh,孟加拉,0
14,Belarus,白俄羅斯,0
15,Belgium,比利時,0
16,Belize,貝里斯,0
17,Benin,貝南,0
18,Bhutan,不丹,0
19,Bolivia,玻利維亞,0
20,Bosnia and Herzegovina,波希尼亞及赫塞哥維那,0
21,Botswana,波札那,0
22,Brazil,巴西,0
23,Brunei Darussalam,汶萊,0
24,Bulgaria,保加利亞,0
25,Burkina Faso,布吉納法索,0
26,Burundi,蒲隆地,0
27,Cambodia,柬埔寨,0
28,Cameroon,喀麥隆,0
29,Canada,加拿大,0
30,Cayman Islands?,開曼群島,0
31,Central African Republic,中非共和國,0
32,Chad,查德,0
33,Chile,智利,0
34,China,中國大陸,0
35,Colombia,哥倫比亞,0
36,Comoros?,科摩羅,0
37,Cook Islands,庫克群島,0
38,Costa Rica,哥斯大黎加,0
39,Croatia,克羅埃西亞,0
40,Cuba,古巴,0
41,Cyprus,賽普勒斯,0
42,Czech Republic,捷克,0
43,Democratic Republic of the Congo,剛果,0
44,Denmark,丹麥,0
45,Djibouti,吉布提,0
46,Dominican Republic,多明尼克,0
47,East Timor,東帝汶,0
48,Ecuador,厄瓜多爾,0
49,Egypt,埃及,0
50,El Salvador,薩爾瓦多,0
51,Equatorial Guinea,赤道幾內亞,0
52,Eritrea,厄利垂亞,0
53,Estonia,愛沙尼亞,0
54,Ethiopia,衣索比亞,0
55,Falkland Islands,福克蘭群島,0
56,Fiji,婓濟,0
57,Finland,芬蘭,0
58,France,法國,0
59,French Guiana,法屬波里尼西亞,0
60,Gabon,加彭,0
61,Gambia,岡比亞,0
62,Georgia,喬治亞,0
63,Germany,德國,0
64,Ghana,迦納,0
65,Gibraltar,?直布羅陀,0
66,Greece,希臘,0
67,Greenland,格陵蘭,0
68,Guatemala,瓜地馬拉,0
69,Guinea,幾內亞,0
70,Guinea Bissau,幾內亞比索,0
71,Guyana,蓋亞那,0
72,Haiti,海地,0
73,Honduras,宏都拉斯,0
74,Hungary,匈牙利,0
75,Iceland,冰島,0
76,India,印度,0
77,Indonesia,印尼,0
78,Iran,伊朗,0
79,Iraq,伊拉克,0
80,Ireland,愛爾蘭,0
81,Israel,以色列,0
82,Italy,義大利,0
83,Ivory Coast,象牙海岸,0
84,Jamaica,牙買加,0
85,Japan,日本,0
86,Jordan,約旦,0
87,Kazakhstan,哈薩克,0
88,Kiribati?,吉里巴斯,0
89,Korea,韓國,0
90,Kenya,肯亞,0
91,Kuwait,科威特,0
92,Kyrgyzstan,吉爾吉斯,0
93,Laos,寮國,0
94,Latvia,拉脫維亞,0
95,Lebanon,黎巴嫩,0
96,Lesotho,賴索托,0
97,Liberia,賴比瑞亞,0
98,Libya,利比亞,0
99,Liechtenstein,?列支敦士登,0
100,Lithuania,立陶宛,0
101,Luxembourg,盧森堡,0
102,Macedonia,馬其頓,0
103,Madagascar,馬達加斯加,0
104,Malawi,馬拉威共和國,0
105,Malaysia,馬來西亞,0
106,Maldives,?馬爾地夫,0
107,Mali,馬里共和國,0
108,Marshall Islands,馬紹爾群島,0
109,Mauritania,茅利塔尼亞,0
110,Mexico,墨西哥,0
111,Moldova,摩爾多瓦,0
112,Monaco,摩納哥,0
113,Mongolia,蒙古,0
114,Montenegro,蒙特內哥羅,0
115,Morocco,摩洛哥,0
116,Mozambique,莫三比克,0
117,Myanmar,緬甸,0
118,Namibia,納米比亞,0
119,Nepal,尼泊爾,0
120,Netherlands,荷蘭,0
121,New Caledonia,法屬新克里多尼亞,0
122,New Zealand,紐西蘭,0
123,Nicaragua,尼加拉瓜,0
124,Niger,尼日,0
125,Nigeria,奈及利亞,0
126,North Korea,北韓,0
127,Norway,挪威,0
128,Oman,阿曼,0
129,Pakistan,巴基斯坦,0
130,Panama,巴拿馬,0
131,Papua New Guinea,巴布亞紐幾內亞,0
132,Paraguay,巴拉圭,0
133,Peru,祕魯,0
134,Philippines,菲律賓,0
135,Poland,波蘭,0
136,Portugal,葡萄牙,0
137,Puerto Rico,波多黎各,0
138,Qatar,卡達,0
139,Republic of Serbia,塞爾維亞,0
140,Republic of the Congo,剛果民主共和國,0
141,Romania,羅馬尼亞,0
142,Russia,俄羅斯,0
143,Rwanda,盧安達,0
144,Saudi Arabia,沙烏地阿拉伯,0
145,Senegal,塞內加爾,0
146,Sierra Leone,獅子山,0
147,Singapore,新加坡,0
148,Slovakia,斯洛伐克,0
149,Slovenia,斯洛維尼亞,0
150,Solomon Islands,索羅門群島,0
151,Somalia,索馬利亞,0
152,South Africa,南非,0
153,South Korea,南韓,0
154,South Sudan,南蘇丹,0
155,Spain,西班牙,0
156,Sri Lanka,斯里蘭卡,0
157,Sudan,蘇丹,0
158,Suriname,蘇利南,0
159,Swaziland,史瓦濟南,0
160,Sweden,瑞典,0
161,Switzerland,瑞士,0
162,Syria,敘利亞,0
163,Taiwan,台灣,0
164,Tajikistan,塔吉克,0
165,Thailand,泰國,0
166,The Bahamas,巴哈馬,0
167,Togo,多哥,0
168,Trinidad and Tobago,千里達及托巴哥,0
169,Tunisia,突尼西亞,0
170,Turkey,土耳其,0
171,Turkmenistan,土庫曼斯坦,0
172,Tuvalu,吐瓦魯,0
173,Uganda,烏干達,0
174,Ukraine,烏克蘭,0
175,United Arab Emirates,阿拉伯聯合大公國,0
176,United Kingdom,英國,0
177,United Republic of Tanzania,坦尚尼亞,0
178,United States of America,美國,0
179,Uruguay,烏拉圭,0
180,Uzbekistan,烏茲別克,0
181,Vanuatu,萬那杜,0
182,Venezuela,委內瑞拉,0
183,Vietnam,越南,0
184,West Bank,約旦河西岸,0
185,Western Sahara,西撒哈拉,0
186,Yemen,葉門,0
187,Yugoslavia?,南斯拉夫,0
188,Zaire,薩伊,0
189,Zambia,尚比亞,0
190,Zimbabwe,辛巴威,0
