"","x"
"1","（中央社記者尹俊傑北京8日電）中國大陸官方近年加強治理霧霾，公布的監測數據大多顯示空氣品質改善。但陸媒透過問卷調查發現，僅29.5%受訪者認為治霾數據和直觀感受相符，66%懷疑官方數據。"
"2","    大陸環境保護部日前公布，今年1至10月，大陸338個城市細懸浮微粒（PM2.5）平均濃度為每立方公尺42微克，較2015年同期下降12.5%，空氣品質逐步改善。"
"3","    中國青年報今天報導，中國青年報社社會調查中心上週透過問卷調查2001人的結果顯示，69.4%受訪者關注官方治霾數據，但僅29.5%認為數據和直觀感受相符，66.0%因此對數據產生懷疑。"
"4","    在廣告公司任職的汪軒怡已在北京生活5年多。她表示，儘管近年數據顯示治霾成效顯著，直觀體驗卻是北京霧霾仍嚴重，只有刮風才能見到藍天。「沒直觀體驗到，誰又會相信治霾效果呢？」"
"5","    這份調查顯示，67.8%受訪者表示所在地區霧霾嚴重，其中19.5%認為非常嚴重。24.3%表示一般，認為不嚴重的僅7.8%。"
"6","    對此，中國人民大學環境學院副教授朱芬芬表示，直觀感覺與治霾數據不符的原因可能是訊息獲取管道多，使民眾形成治霾效果不好的想法；另一種可能就是霧霾成因複雜，難在幾年內取得很好的治理效果。"
"7","    調查中，63.3%受訪者表示要真正改善空氣品質，就要加強汙染源頭治理。62.5%希望提高汽機車廢氣排放標準，57.4%建議削減煤炭消耗量，55.5%建議植樹造林。1051108"
"8","America decides - first votes cast"
"9","America decides - first votes cast"
"10","Philippines drugs crackdown strains packed jails"
"11","NYC shows off anti-vote fraud technology"
"12","Sponsored"
"13","遏止全球暖化 巴黎協定生效"
"14","全球野生動物 40年消失六成"
"15","朴槿惠閨密崔順實 干政遭拘押"
"16","民主運動領袖 翁山蘇姬"
"17","Sponsored"
"18","飯店最髒的地方曝光…太驚人"
"19","第1次進他房間 背著媽媽做…"
"20","童話世界成真∼房子好像彩色積木"
"21","昆汀塔倫提諾再拍兩部就退休！"
