2015/12/16 - 2016/12/21,,,,,,洲平均,
,,緯度,經度,,,,
United States,330,38.411778,-98.553364,Africa,228,4.222222222,12.3%
Japan,85,36.80675,140.087469,Asian,492,8.2,26.5%
Belgium,71,50.39425,4.542181,Central and South America,228,6.909090909,12.3%
France,63,46.173687,2.202067,Cross-strait,93,31,5.0%
United Kingdom,63,54.506779,-2.51431,Europe,444,10.3255814,23.9%
Germany,59,50.829105,10.317574,USA and Canada,372,186,20.0%
Brazil,56,-10.358738,-52.321887,總計,1857,,100.0%
China Mainland,42,34.492293,106.162739,,,,
Canada,41,56.2335,-109.263673,,,,
Syria,40,34.613683,38.670217,,,,
South Korea,39,36.417431,128.060561,,,,
Taiwan,37,23.823546,120.819867,,,,
Venezuela,35,6.353,-66.104332,,,,
Russia,34,61.391131,101.346092,,,,
Turkey,34,39.701437,35.997787,,,,
Philippines,32,13.272972,123.417326,,,,
North Korea,31,40.169836,126.70856,,,,
Australia,28,-25.20791,132.143921,,,,
Colombia,28,4.853299,-73.194041,,,,
Nigeria,28,9.678982,6.683109,,,,
Indonesia,22,-0.134091,112.569075,,,,
Iraq,22,33.103339,43.856737,,,,
Italy,22,41.995131,14.082671,,,,
India,19,22.278527,76.233429,,,,
Mexico,18,24.249346,-104.319638,,,,
Austria,16,47.474492,14.310638,,,,
Switzerland,16,46.836386,8.420011,,,,
Cuba,15,21.674948,-78.238512,,,,
Egypt,15,27.214789,27.354548,,,,
Myanmar,15,22.06795,94.574826,,,,
Somalia,15,4.994271,46.450282,,,,
Spain,15,40.195778,-3.085503,,,,
Greece,14,39.38854,21.888451,,,,
Libya,14,26.524087,18.043077,,,,
South Sudan,14,7.01084,30.666776,,,,
Afghanistan,13,,,,,,
Hong Kong,13,,,,,,
Argentina,12,,,,,,
Ethiopia,12,,,,,,
Haiti,12,,,,,,
Kenya,12,,,,,,
Netherlands,12,,,,,,
Pakistan,12,,,,,,
Peru,12,,,,,,
South Africa,12,,,,,,
Thailand,11,,,,,,
Vietnam,10,,,,,,
Iran,9,,,,,,
New Zealand,8,,,,,,
Panama,8,,,,,,
Ukraine,8,,,,,,
Yemen,8,,,,,,
Zimbabwe,8,,,,,,
Democratic Republic of the Congo,7,,,,,,
Gambia,7,,,,,,
Gabon,6,,,,,,
Korea,6,,,,,,
Saudi-Arabia,6,,,,,,
Singapore,6,,,,,,
Uganda,6,,,,,,
Bolivia,5,,,,,,
Burundi,5,,,,,,
Central African Republic,5,,,,,,
Congo,5,,,,,,
Ecuador,5,,,,,,
El Salvador,5,,,,,,
Ghana,5,,,,,,
Hungary,5,,,,,,
Israel,5,,,,,,
Luanda,5,,,,,,
Norway,5,61.293895,8.321775,,,,
Poland,5,51.550998,19.084249,,,,
Vatican,5,41.54105,12.27122,,,,
Chile,4,-35.411461,-71.293656,,,,
Guatemala,4,14.380569,-90.302478,,,,
Laos,4,19.512257,102.294379,,,,
Niger,4,17.35257,8.133348,,,,
Senegal,4,14.53465,-14.034654,,,,
Sudan,4,12.303873,30.13255,,,,
Zambia,4,-13.080203,27.505759,,,,
Bengal,3,22.591232,87.511791,,,,
Benin,3,9.183157,2.19264,,,,
Cameroon,3,7.222246,12.201771,,,,
Denmark,3,56.19026,9.333125,,,,
Iceland,3,64.544462,-18.550882,,,,
Malaysia,3,3.023682,102.442943,,,,
Marley,3,17.341449,-3.59462,,,,
Morocco,3,31.013707,-1.184154,,,,
Mozambique,3,-17.525927,36.180575,,,,
Papua New Guinea,3,-6.035556,143.190882,,,,
Sweden,3,59.592045,15.03297,,,,
Tanzania,3,-6.371953,35.200309,,,,
Tunisia,3,33.531291,9.3215,,,,
Bulgaria,2,42.513087,26.202803,,,,
Croatia,2,45.030903,15.195737,,,,
Dominican Republic,2,18.441319,-70.122997,,,,
Honduras,2,15.031402,-85.274883,,,,
Jamaica,2,18.063449,-77.175103,,,,
Luxembourg,2,49.451119,6.130162,,,,
Macedonia,2,41.385468,21.483702,,,,
Mongolia,2,46.154684,104.282196,,,,
Nicaragua,2,12.401898,-85.032801,,,,
Serbia,2,44.005717,21.000719,,,,
Slovenia,2,45.510751,15.441007,,,,
Solomon Islands,2,-9.555576,159.445889,,,,
Sri Lanka,2,7.533399,80.461847,,,,
Algeria,1,28.020199,1.393465,,,,
Angola,1,-11.120969,17.522599,,,,
Belarus,1,53.423531,27.57122,,,,
Belize,1,17.112356,-88.295154,,,,
Burkina Faso,1,12.1418,-1.334173,,,,
Cadar,1,25.211737,51.110198,,,,
Cambodia,1,12.335644,104.592747,,,,
Chad,1,15.2715,18.435595,,,,
Djibouti,1,11.49305,42.352499,,,,
Dominican,1,18.44085,-70.094554,,,,
Dubai,1,25.121746,55.161482,,,,
Erectile Asia,1,,,,,,
Estonia,1,58.354298,25.004899,,,,
Fiji,1,-17.424814,178.035411,,,,
Finland,1,61.55268,25.445335,,,,
Holy See,1,41.54105,12.27122,,,,
Ivory Coast,1,7.322396,-5.324949,,,,
Jordan,1,30.350659,36.141829,,,,
Kuwait,1,29.184198,47.285436,,,,
Kyrgyzstan,1,41.121577,74.455795,,,,
Lebanon,1,33.5117,35.514423,,,,
Liberia,1,6.2541,-9.25462,,,,
Madagascar,1,-18.460101,46.520879,,,,
Moldova,1,47.244187,28.221159,,,,
Montenegro,1,42.4223124,19.22278,,,,
Palestine,1,31.91222,35.22028,,,,
Portugal,1,39.235954,-8.132803,,,,
Romania,1,45.563538,24.580023,,,,
Sao Tome and Principe,1,0.11109,6.364709,,,,
Swaziland,1,-26.312101,31.275712,,,,
United Arab Emirates,1,23.252667,53.505214,,,,
Uzbekistan,1,41.223897,64.350694,,,,
總計,1857,,,,,,